segment_id,start,end,duration_seconds,duration_formatted,task,pause_start,pause_end
1,2025-08-06 15:28:19,2025-08-06 15:38:07,260.8,0:04:20,Dopo aver inviato uca,2025-08-06 15:32:28,2025-08-06 15:37:55
2,2025-08-06 15:38:29,2025-08-06 15:38:39,9.51,0:00:09,un altra task,,
segment_id,start,end,duration_seconds,duration_formatted,task,pause_start,pause_end
1,2025-08-06 15:41:02,2025-08-06 15:41:21,19.02,0:00:19,RIPRESA - TEO - dopo uca e un po di distrazioni,,
segment_id,start,end,duration_seconds,duration_formatted,task,pause_start,pause_end
1,2025-08-06 15:41:47,2025-08-06 15:41:55,8.01,0:00:08,ciccio,,
segment_id,start,end,duration_seconds,duration_formatted,task,pause_start,pause_end
1,2025-08-06 16:19:09,2025-08-06 16:26:46,457.85,0:07:37,TEO - Ripresa dopo uca e vari FIX per Timer.py,,
2,2025-08-06 16:27:02,2025-08-06 17:33:25,1736.14,0:28:56,TEO - Ripresa dopo uca e vari FIX per Timer.py,2025-08-06 16:27:22,2025-08-06 17:04:49
3,2025-08-06 17:33:59,2025-08-06 18:40:54,4014.94,1:06:54,TEO - Ripresa UCA - Distazione per TV ecc,,
4,2025-08-06 18:41:28,2025-08-06 19:40:55,3567.04,0:59:27,[spesa] Vado a fare la spesa eurospin,,
5,2025-08-06 19:41:48,2025-08-06 19:48:38,409.31,0:06:49,TEO - dopo la spesa a eurospin,,
6,2025-08-06 19:48:48,2025-08-06 20:51:07,3738.55,1:02:18,TEO - dopo la spesa a eurospin,,
7,2025-08-06 20:51:55,2025-08-06 22:29:19,4028.95,1:07:08,[dopo cena] - TEO,2025-08-06 21:24:37,2025-08-06 21:54:51
